timestamp,ros_delay_ms,yolo_infer_ms,node_latency_ms,roi_kb,detections,gpu_%,cpu_%,power_mW,ram_MB
1776591354.9866529,165.9,19.55,28.34,10.5,1,67,44.3,7423,6125
1776591355.016221,163.74,19.97,27.94,10.5,0,67,44.3,7423,6125
1776591355.0460942,157.6,19.71,27.92,10.5,1,67,44.3,7423,6125
1776591355.0755525,157.11,19.56,27.69,10.4,1,67,44.3,7423,6125
1776591355.107167,149.88,21.02,29.93,10.4,1,67,44.3,7423,6125
1776591355.137771,170.24,20.01,27.74,10.5,1,67,44.3,7423,6125
1776591355.1690621,163.97,20.47,29.64,10.5,1,67,44.3,7423,6125
1776591355.2015653,162.44,21.89,30.92,10.5,1,67,44.3,7423,6125
1776591355.2344446,160.14,22.45,31.15,10.5,1,67,44.3,7423,6125
1776591355.2638671,162.2,19.5,27.63,10.5,1,67,44.3,7423,6125
1776591355.294249,157.46,19.56,28.3,10.5,1,67,44.3,7423,6125
1776591355.324588,153.42,20.06,28.7,10.5,1,67,44.3,7423,6125
1776591355.3551128,168.99,19.87,28.69,10.4,1,67,44.3,7423,6125
1776591355.3854847,164.16,19.7,28.67,10.5,2,67,44.3,7423,6125
1776591355.4155202,163.25,19.81,28.33,10.5,1,67,44.3,7423,6125
1776591355.445985,158.98,19.63,28.27,10.5,2,67,44.3,7423,6125
1776591355.475782,157.12,19.49,28.0,10.5,1,67,44.3,7423,6125
1776591355.5060663,151.47,19.91,28.58,10.4,1,67,44.3,7423,6125
1776591355.5387323,167.24,20.32,30.61,10.5,1,67,44.3,7423,6125
1776591355.5689466,166.07,19.76,27.99,10.5,1,67,44.3,7423,6125
1776591355.5987146,163.08,19.79,28.15,10.5,1,67,44.3,7423,6125
1776591355.6287496,159.1,19.89,28.21,10.5,1,67,44.3,7423,6125
1776591355.6586447,156.77,19.36,28.14,10.4,2,67,44.3,7423,6125
1776591355.6882656,151.72,19.62,28.07,10.5,1,67,44.3,7423,6125
1776591355.7185252,165.14,19.75,28.57,10.5,1,67,44.3,7423,6125
1776591355.7491345,161.81,19.87,29.02,10.5,2,67,44.3,7423,6125
1776591355.7793295,158.18,19.43,28.53,10.4,1,67,44.3,7423,6125
1776591355.808943,156.61,19.73,27.77,10.5,1,67,44.3,7423,6125
1776591355.838511,153.74,19.7,27.79,10.5,1,67,44.3,7423,6125
1776591355.868168,166.38,19.69,27.88,10.5,1,67,44.3,7423,6125
1776591355.8986664,161.03,20.57,28.83,10.5,1,78,45.8,7475,6125
1776591355.9291012,158.94,19.81,28.73,10.5,0,78,45.8,7475,6125
1776591355.9599714,157.36,20.03,29.06,10.5,1,78,45.8,7475,6125
