event_id,label_type,time,count,maglat,Bmag,in_saa,detector,channel,note
36,p,2024-09-17 12:30:00+00:00,529.8677777777777,35.6,26493.0,False,metop03,omni_p6,
36,e,2024-09-21 05:15:00+00:00,0.5233333333333333,-8.2,20342.9,True,metop03,omni_p6,
37,o,2024-10-07 16:45:00+00:00,0.4133333333333333,19.5,30927.8,False,metop03,omni_p6,
37,p,2024-10-10 01:45:00+00:00,707.91,-56.2,25292.0,False,metop03,omni_p6,
37,e,2024-10-12 16:30:00+00:00,0.1333333333333333,-22.0,30016.4,False,metop03,omni_p6,
38,o,2024-10-24 04:30:00+00:00,0.2855555555555555,48.0,41064.3,False,metop03,omni_p6,
38,p,2024-10-28 02:15:00+00:00,683.5105555555555,-49.6,23534.2,True,metop03,omni_p6,
38,e,2024-11-05 13:15:00+00:00,,71.2,41194.1,False,metop03,omni_p6,
39,o,2024-11-21 16:15:00+00:00,0.4111111111111111,23.5,33086.2,False,metop03,omni_p6,
39,p,2024-11-22 02:00:00+00:00,827.1905555555555,-41.0,20495.5,True,metop03,omni_p6,
39,e,2024-11-25 08:30:00+00:00,0.3055555555555556,57.5,37551.0,False,metop03,omni_p6,
40,o,2024-12-20 16:00:00+00:00,0.1577777777777777,-30.8,33647.1,False,metop03,omni_p6,
40,p,2024-12-22 02:00:00+00:00,1.6411111111111112,32.5,27429.0,False,metop03,omni_p6,
40,e,2024-12-28 18:45:00+00:00,0.5633333333333332,77.4,39258.1,False,metop03,omni_p6,
41,o,2025-01-04 15:45:00+00:00,0.21,-46.2,38377.2,False,metop03,omni_p6,
41,p,2025-01-05 01:45:00+00:00,668.2422222222223,-56.6,25442.1,False,metop03,omni_p6,
41,e,2025-01-07 00:30:00+00:00,0.2822222222222222,-4.8,26203.1,False,metop03,omni_p6,
42,o,2025-02-24 15:00:00+00:00,0.2122222222222222,-7.4,27902.6,False,metop03,omni_p6,
42,p,2025-02-25 01:00:00+00:00,655.9811111111111,-18.4,16573.4,True,metop03,omni_p6,
42,e,2025-02-27 17:30:00+00:00,0.55,77.1,40655.7,False,metop03,omni_p6,
43,o,2025-03-30 04:30:00+00:00,1.231111111111111,-52.7,28436.8,False,metop03,omni_p6,
43,p,2025-04-01 02:30:00+00:00,15.967222222222222,29.1,26642.4,False,metop03,omni_p6,
43,e,2025-04-04 06:15:00+00:00,0.1844444444444444,-31.0,26803.9,False,metop03,omni_p6,
44,o,2025-05-31 04:45:00+00:00,0.4566666666666666,-61.0,30974.4,False,metop03,omni_p6,
44,p,2025-06-01 09:30:00+00:00,57.66944444444445,-62.5,39810.1,False,metop03,omni_p6,
44,e,2025-06-08 11:30:00+00:00,538.2972222222222,24.2,22456.1,True,metop03,omni_p6,
45,o,2025-08-21 19:15:00+00:00,0.3455555555555555,58.2,37267.1,False,metop03,omni_p6,
45,p,2025-08-26 08:30:00+00:00,34.28111111111112,5.3,22246.2,True,metop03,omni_p6,
45,e,2025-09-02 20:00:00+00:00,0.48777777777777775,83.1,40435.1,False,metop03,omni_p6,
46,o,2025-11-10 05:00:00+00:00,0.5155555555555555,-63.8,31213.9,False,metop03,omni_p6,
46,p,2025-11-12 01:15:00+00:00,761.2088888888889,-40.8,19787.6,True,metop03,omni_p6,
46,e,2025-11-17 06:00:00+00:00,0.5766666666666667,-71.3,30385.5,False,metop03,omni_p6,
48,o,2025-05-13 06:30:00+00:00,0.5522222222222222,43.1,31832.7,False,metop03,omni_p6,
48,p,2025-05-13 23:00:00+00:00,156.7572222222222,-37.2,18558.3,True,metop03,omni_p6,
48,e,2025-05-14 18:30:00+00:00,0.1855555555555555,31.8,28043.7,False,metop03,omni_p6,
49,o,2024-06-11 17:00:00+00:00,0.6811111111111111,-71.7,38972.5,False,metop03,omni_p6,
49,p,2024-06-12 12:45:00+00:00,1123.4361111111111,4.2,17492.4,True,metop03,omni_p6,
49,e,2024-06-15 19:45:00+00:00,0.4511111111111111,82.2,40491.1,False,metop03,omni_p6,
50,o,2024-05-20 02:30:00+00:00,6.644444444444445,-74.5,38848.2,False,metop03,omni_p6,
50,p,2024-05-21 00:45:00+00:00,819.3199999999999,-42.3,19904.6,True,metop03,omni_p6,
50,e,2024-05-25 02:00:00+00:00,0.1744444444444444,17.2,31322.0,False,metop03,omni_p6,
52,o,2025-10-21 16:00:00+00:00,0.2966666666666667,6.6,28077.8,False,metop03,omni_p6,
52,p,2025-10-22 11:00:00+00:00,0.8733333333333333,72.4,38819.5,False,metop03,omni_p6,
52,e,2025-10-26 23:30:00+00:00,0.3388888888888888,-12.7,27413.2,False,metop03,omni_p6,
