08-09-2026 19:35:18 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,2%@729,19%@729,1%@729,6%@729,0%@729] GR3D_FREQ 8% cpu@48.312C soc2@47.437C soc0@46.031C gpu@47.531C tj@48.312C soc1@46C VDD_IN 4472mW/4422mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:19 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@729,1%@729,17%@729,0%@729,1%@729,0%@729] GR3D_FREQ 8% cpu@48.406C soc2@47.437C soc0@46.156C gpu@47.687C tj@48.406C soc1@45.843C VDD_IN 4465mW/4422mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1354mW
08-09-2026 19:35:20 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [11%@729,4%@729,13%@729,0%@729,1%@729,0%@729] GR3D_FREQ 8% cpu@48.218C soc2@47.343C soc0@46C gpu@47.718C tj@48.218C soc1@45.906C VDD_IN 4432mW/4423mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1354mW
08-09-2026 19:35:21 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [6%@729,2%@729,3%@729,13%@729,1%@729,0%@729] GR3D_FREQ 7% cpu@48.281C soc2@47.375C soc0@46C gpu@47.812C tj@48.281C soc1@45.875C VDD_IN 4472mW/4423mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1355mW
08-09-2026 19:35:22 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [6%@1510,2%@1510,2%@1510,17%@1510,1%@729,0%@729] GR3D_FREQ 6% cpu@48.343C soc2@47.5C soc0@46.125C gpu@47.812C tj@48.343C soc1@45.968C VDD_IN 4472mW/4424mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1355mW
08-09-2026 19:35:23 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@1510,1%@1510,2%@1510,18%@1510,0%@729,0%@729] GR3D_FREQ 8% cpu@48.5C soc2@47.375C soc0@46.156C gpu@47.562C tj@48.5C soc1@45.906C VDD_IN 4505mW/4425mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1356mW
08-09-2026 19:35:24 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@729,2%@729,3%@729,4%@729,15%@729,0%@729] GR3D_FREQ 6% cpu@48.375C soc2@47.375C soc0@46.031C gpu@47.5C tj@48.375C soc1@45.875C VDD_IN 4465mW/4426mW VDD_CPU_GPU_CV 757mW/753mW VDD_SOC 1395mW/1356mW
08-09-2026 19:35:25 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,1%@1510,3%@1510,0%@1510,17%@729,0%@729] GR3D_FREQ 6% cpu@48.187C soc2@47.343C soc0@46.093C gpu@47.531C tj@48.187C soc1@45.843C VDD_IN 4472mW/4427mW VDD_CPU_GPU_CV 757mW/753mW VDD_SOC 1395mW/1357mW
08-09-2026 19:35:26 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@729,2%@729,2%@729,1%@729,17%@729,1%@729] GR3D_FREQ 11% cpu@48.25C soc2@47.406C soc0@46.218C gpu@47.875C tj@48.25C soc1@46.031C VDD_IN 4472mW/4427mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1358mW
08-09-2026 19:35:27 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@1510,1%@1510,5%@1510,0%@1510,16%@729,0%@729] GR3D_FREQ 8% cpu@48.343C soc2@47.312C soc0@46.125C gpu@47.437C tj@48.343C soc1@45.812C VDD_IN 4512mW/4429mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1358mW
08-09-2026 19:35:28 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@1510,3%@1510,3%@1510,0%@1510,27%@729,2%@729] GR3D_FREQ 7% cpu@48.531C soc2@47.375C soc0@46C gpu@47.437C tj@48.531C soc1@45.906C VDD_IN 4425mW/4429mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1358mW
