config,variant,threshold,ground_truth,n_det_raw,n_cat,n_det,pod,far,n_hit,n_fa,n_fa_saa,n_events_total,n_events_tp,n_events_fa,event_far,TP,FP,FN,precision,recall,f1,onset_diff_h_median,onset_diff_h_p25,onset_diff_h_p75,onset_diff_h_n
B_gated_tcn,skip,0.95,manual,89,53,89,0.7924528301886793,0.43820224719101125,42,39,,70,41,29,0.4084507042253521,42,29,11,0.5915492957746479,0.7924528301886793,0.6774193548387097,11.25,7.5625,17.9375,42
C_alert_and_tcn,na,0.95,noaa,207,42,207,0.7142857142857143,0.2898550724637681,30,60,,27,25,2,0.0625,30,2,12,0.9375,0.7142857142857143,0.8108108108108109,1.875,1.0,4.208333333333334,30
C_alert_and_tcn,na,0.95,manual,207,53,207,0.41509433962264153,0.6038647342995169,22,125,,27,22,5,0.18518518518518517,22,5,31,0.8148148148148148,0.41509433962264153,0.55,9.875,7.875,15.8125,22
A_tcn_only,na,0.96,noaa,189,42,189,0.9761904761904762,0.5714285714285714,41,108,,75,38,37,0.47435897435897434,41,37,1,0.5256410256410257,0.9761904761904762,0.6833333333333332,0.5,-3.6666666666666665,1.8333333333333333,41
A_tcn_only,na,0.96,manual,189,53,189,0.8301886792452831,0.6296296296296297,44,119,,75,43,32,0.42105263157894735,44,32,9,0.5789473684210527,0.8301886792452831,0.682170542635659,10.625,6.9375,15.5,44
B_gated_tcn,break,0.96,noaa,178,42,178,0.6666666666666666,0.29775280898876405,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.125,1.25,5.895833333333333,28
B_gated_tcn,break,0.96,manual,178,53,178,0.41509433962264153,0.6235955056179775,22,111,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,8.4375,17.25,22
B_gated_tcn,skip,0.96,noaa,87,42,87,0.8571428571428571,0.41379310344827586,36,36,,60,34,26,0.41935483870967744,36,26,6,0.5806451612903226,0.8571428571428571,0.6923076923076923,1.0,-2.291666666666667,1.7708333333333333,36
B_gated_tcn,skip,0.96,manual,87,53,87,0.7547169811320755,0.3793103448275862,40,33,,60,39,21,0.3442622950819672,40,21,13,0.6557377049180327,0.7547169811320755,0.7017543859649122,10.875,7.4375,18.5,40
C_alert_and_tcn,na,0.96,noaa,206,42,206,0.7142857142857143,0.2912621359223301,30,60,,27,25,2,0.0625,30,2,12,0.9375,0.7142857142857143,0.8108108108108109,2.0833333333333335,1.1041666666666667,4.208333333333334,30
C_alert_and_tcn,na,0.96,manual,206,53,206,0.41509433962264153,0.6067961165048543,22,125,,27,22,5,0.18518518518518517,22,5,31,0.8148148148148148,0.41509433962264153,0.55,10.0,7.875,15.8125,22
A_tcn_only,na,0.97,noaa,194,42,194,0.9761904761904762,0.4948453608247423,41,96,,66,37,29,0.4142857142857143,41,29,1,0.5857142857142857,0.9761904761904762,0.7321428571428572,0.3333333333333333,-2.0,1.8333333333333333,41
A_tcn_only,na,0.97,manual,194,53,194,0.7169811320754716,0.6443298969072165,38,125,,66,37,29,0.43283582089552236,38,29,15,0.5671641791044776,0.7169811320754716,0.6333333333333333,10.375,6.3125,15.125,38
B_gated_tcn,break,0.97,noaa,172,42,172,0.6666666666666666,0.3081395348837209,28,53,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.291666666666667,1.3958333333333335,6.1875,28
B_gated_tcn,break,0.97,manual,172,53,172,0.41509433962264153,0.627906976744186,22,108,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,13.875,8.4375,18.25,22
B_gated_tcn,skip,0.97,noaa,102,42,102,0.9523809523809523,0.3627450980392157,40,37,,65,38,27,0.40298507462686567,40,27,2,0.5970149253731343,0.9523809523809523,0.7339449541284403,1.1666666666666667,-0.14583333333333334,3.0625,40
B_gated_tcn,skip,0.97,manual,102,53,102,0.7169811320754716,0.46078431372549017,38,47,,65,37,28,0.42424242424242425,38,28,15,0.5757575757575758,0.7169811320754716,0.6386554621848739,11.0,5.6875,16.4375,38
C_alert_and_tcn,na,0.97,noaa,206,42,206,0.7142857142857143,0.2912621359223301,30,60,,27,25,2,0.0625,30,2,12,0.9375,0.7142857142857143,0.8108108108108109,2.0833333333333335,1.1041666666666667,4.208333333333334,30
C_alert_and_tcn,na,0.97,manual,206,53,206,0.41509433962264153,0.6067961165048543,22,125,,27,22,5,0.18518518518518517,22,5,31,0.8148148148148148,0.41509433962264153,0.55,10.0,7.875,15.8125,22
A_tcn_only,na,0.98,noaa,192,42,192,0.9761904761904762,0.5052083333333334,41,97,,57,38,19,0.31666666666666665,41,19,1,0.6833333333333333,0.9761904761904762,0.803921568627451,0.9166666666666666,-0.9166666666666666,2.0833333333333335,41
A_tcn_only,na,0.98,manual,192,53,192,0.6792452830188679,0.65625,36,126,,57,35,22,0.3793103448275862,36,22,17,0.6206896551724138,0.6792452830188679,0.6486486486486486,9.875,6.1875,15.3125,36
B_gated_tcn,break,0.98,noaa,165,42,165,0.6666666666666666,0.30303030303030304,28,50,,25,23,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.291666666666667,1.3958333333333335,6.1875,28
